timestamp,what_is_your_age?,what_is_your_gender?,what_is_your_current_year_of_study?,what_is_your_major_or_field_of_study?,what_is_your_current_gpa_or_average_grade?,how_many_hours_do_you_study_per_week?,how_many_assignments_or_deadlines_do_you_have_each_week?,how_often_do_you_attend_classes?,how_much_academic_pressure_do_you_feel?,how_would_you_rate_your_level_of_social_support?,what_is_your_current_living_situation?,do_you_have_a_part_time_job?,do_you_participate_in_extracurricular_activities?,how_would_you_rate_your_sleep_quality?,how_many_hours_of_sleep_do_you_get_per_night?,how_often_do_you_engage_in_physical_activity?,how_would_you_rate_the_quality_of_your_diet?,how_many_hours_do_you_spend_on_screens_phone_computer_tv_per_day?,how_would_you_rate_your_anxiety_levels?,how_would_you_rate_your_depression_symptoms?,what_coping_mechanisms_do_you_use?,how_would_you_rate_your_current_stress_level?
06-10-2024 08:44,27,Male,4,Civil Engineering,4,47,5,Never,4,4,On-Campus,Yes,Yes,1,5,Rarely,4,8,4,3,Sleeping,4
06-10-2024 08:44,21,Female,1,Core Engineering,7,24,0,Frequently,4,1,Off-Campus,No,Yes,5,6,Frequently,4,6,4,5,Listening to Music,1
06-10-2024 08:44,30,Male,3,Core Engineering,3,56,1,Rarely,3,5,Off-Campus,No,No,3,2,Daily,4,1,1,2,Playing Games,5
06-10-2024 08:44,19,Male,4,BBA General,5,25,0,Rarely,1,2,Off-Campus,No,No,2,5,Never,3,0,3,2,Listening to Music,3
06-10-2024 08:44,21,Female,2,Law,6,39,5,Frequently,5,5,On-Campus,Yes,Yes,2,4,Rarely,5,3,5,1,Aggression - punching bag,3
06-10-2024 08:44,30,Female,4,BBA General,4,49,13,Sometimes,2,3,Off-Campus,No,Yes,5,2,Never,4,8,2,5,Playing Games,5
06-10-2024 08:44,27,Male,1,BBA General,4,40,1,Never,1,2,With Family,No,Yes,3,4,Never,4,9,4,5,Aggression - punching bag,4
06-10-2024 08:44,22,Female,4,Law,4,44,13,Sometimes,1,4,On-Campus,No,No,5,5,Daily,2,7,5,5,Playing Games,4
06-10-2024 08:44,18,Female,3,Core Engineering,7,22,9,Never,3,3,Off-Campus,No,Yes,5,7,Rarely,3,8,1,1,Aggression - punching bag,1
06-10-2024 08:44,19,Male,5,Civil Engineering,7,20,5,Frequently,3,4,With Family,No,No,1,5,Rarely,4,0,5,2,Exercise,2
06-10-2024 08:44,19,Male,5,Electronics and Communication,8,7,10,Rarely,5,4,On-Campus,No,Yes,4,8,Sometimes,2,1,4,2,Listening to Music,0
06-10-2024 08:44,20,Female,3,Core Engineering,5,28,2,Frequently,1,1,Off-Campus,No,No,1,4,Never,1,7,1,3,Sleeping,3
06-10-2024 08:44,27,Female,4,Law,8,18,13,Sometimes,4,5,On-Campus,No,Yes,4,7,Never,3,2,4,5,Listening to Music,2
06-10-2024 08:44,20,Female,4,BBA General,3,51,4,Never,1,1,On-Campus,No,Yes,4,2,Never,1,8,2,3,Sleeping,5
06-10-2024 08:44,18,Female,1,Robotics and Automation,7,23,10,Frequently,2,5,With Family,Yes,Yes,1,6,Rarely,4,2,5,4,Aggression - punching bag,2
06-10-2024 08:44,25,Male,2,BBA General,6,15,10,Always,1,1,Off-Campus,Yes,Yes,3,6,Daily,1,7,5,3,Listening to Music,2
06-10-2024 08:44,23,Female,4,Robotics and Automation,8,7,3,Sometimes,2,2,On-Campus,Yes,No,1,7,Daily,3,0,5,1,Listening to Music,0
06-10-2024 08:44,22,Female,3,Civil Engineering,8,13,2,Never,5,1,Off-Campus,No,Yes,3,8,Never,1,5,2,5,Playing Games,0
06-10-2024 08:44,19,Female,5,Civil Engineering,6,27,11,Rarely,1,4,On-Campus,Yes,Yes,4,5,Daily,5,9,2,3,Sleeping,3
06-10-2024 08:44,27,Female,3,BBA General,4,46,13,Rarely,2,3,On-Campus,No,Yes,1,4,Frequently,5,9,5,3,Exercise,4
06-10-2024 08:44,20,Female,4,Electronics and Communication,6,35,11,Never,3,3,With Family,Yes,No,2,5,Frequently,2,1,4,2,Listening to Music,3
06-10-2024 08:44,29,Male,3,Civil Engineering,3,46,5,Always,5,5,Off-Campus,No,Yes,2,3,Rarely,2,5,4,1,Playing Games,5
06-10-2024 08:44,20,Male,1,Electronics and Communication,6,31,10,Always,4,5,Off-Campus,No,No,3,5,Daily,1,8,5,3,Playing Games,3
06-10-2024 08:44,28,Female,3,BBA General,7,21,12,Always,3,4,On-Campus,Yes,No,2,6,Rarely,3,7,4,2,Exercise,1
06-10-2024 08:44,18,Male,5,Core Engineering,9,6,12,Always,4,2,Off-Campus,No,Yes,2,8,Frequently,4,6,2,5,Playing Games,0
06-10-2024 08:44,26,Male,5,BBA General,9,9,11,Sometimes,4,4,With Family,No,No,4,8,Frequently,5,8,5,5,Exercise,0
06-10-2024 08:44,20,Male,1,Electronics and Communication,9,9,10,Rarely,2,3,On-Campus,No,No,3,8,Sometimes,4,4,3,2,Playing Games,0
06-10-2024 08:44,19,Female,2,Electronics and Communication,9,8,10,Never,1,1,Off-Campus,Yes,No,5,8,Sometimes,1,9,2,4,Listening to Music,0
06-10-2024 08:44,29,Female,4,Law,6,26,3,Always,3,5,Off-Campus,Yes,Yes,1,6,Sometimes,4,3,4,3,Sleeping,3
06-10-2024 08:44,28,Female,1,Electronics and Communication,6,33,4,Frequently,3,5,Off-Campus,No,No,3,5,Sometimes,3,5,4,3,Exercise,3
06-10-2024 08:44,22,Male,4,Electronics and Communication,6,39,7,Always,4,3,Off-Campus,Yes,Yes,2,4,Never,5,0,4,3,Playing Games,4
06-10-2024 08:44,25,Male,2,Law,6,39,2,Frequently,3,4,Off-Campus,Yes,Yes,1,4,Never,2,3,5,1,Sleeping,3
06-10-2024 08:44,21,Female,5,Electronics and Communication,7,28,10,Always,4,1,Off-Campus,No,Yes,4,4,Daily,3,4,5,5,Sleeping,3
06-10-2024 08:44,27,Male,2,Electronics and Communication,8,15,3,Rarely,4,2,Off-Campus,No,No,2,7,Daily,3,9,1,4,Playing Games,1
06-10-2024 08:44,23,Female,5,BBA General,5,35,7,Frequently,2,3,With Family,No,No,1,4,Sometimes,2,2,1,2,Playing Games,4
06-10-2024 08:44,28,Male,4,Civil Engineering,5,40,3,Frequently,1,3,With Family,Yes,No,1,4,Never,3,2,4,5,Exercise,4
06-10-2024 08:44,30,Female,4,Core Engineering,7,25,11,Rarely,3,2,On-Campus,Yes,Yes,1,6,Frequently,3,6,3,5,Aggression - punching bag,2
06-10-2024 08:44,28,Male,4,Electronics and Communication,4,48,6,Frequently,4,2,Off-Campus,Yes,No,4,4,Sometimes,2,1,1,2,Sleeping,5
06-10-2024 08:44,23,Female,4,Law,5,47,7,Always,5,1,With Family,Yes,Yes,4,4,Daily,3,1,5,2,Listening to Music,4
06-10-2024 08:44,21,Male,3,BBA General,8,10,2,Sometimes,4,1,On-Campus,No,Yes,1,6,Daily,4,9,3,3,Exercise,1
06-10-2024 08:44,30,Female,3,Civil Engineering,6,32,5,Never,1,2,Off-Campus,Yes,Yes,3,4,Daily,5,8,4,1,Aggression - punching bag,3
06-10-2024 08:44,18,Male,3,Electronics and Communication,6,27,7,Always,2,4,Off-Campus,No,Yes,2,6,Daily,4,3,2,3,Aggression - punching bag,3
06-10-2024 08:44,18,Male,2,Core Engineering,5,30,13,Never,4,5,Off-Campus,No,Yes,3,4,Sometimes,3,7,3,4,Sleeping,3
06-10-2024 08:44,30,Female,5,Core Engineering,8,23,3,Rarely,2,3,Off-Campus,Yes,Yes,1,8,Frequently,4,1,5,2,Sleeping,1
06-10-2024 08:44,26,Female,4,Civil Engineering,9,14,7,Always,4,4,Off-Campus,No,No,2,7,Never,2,8,3,2,Playing Games,0
06-10-2024 08:44,26,Male,4,Law,6,34,14,Sometimes,2,5,Off-Campus,No,No,2,6,Never,4,1,2,2,Listening to Music,3
06-10-2024 08:44,24,Male,5,Electronics and Communication,5,45,7,Rarely,2,5,Off-Campus,No,No,4,4,Sometimes,5,1,2,4,Playing Games,4
06-10-2024 08:44,19,Female,5,Civil Engineering,7,23,6,Frequently,1,1,With Family,No,No,4,6,Never,3,8,1,2,Sleeping,2
06-10-2024 08:44,22,Male,2,Core Engineering,6,27,10,Frequently,1,4,With Family,No,No,1,7,Daily,1,8,3,5,Sleeping,2
06-10-2024 08:44,30,Female,4,Civil Engineering,5,35,8,Always,4,2,On-Campus,Yes,No,2,5,Never,2,4,5,3,Exercise,4
06-10-2024 08:44,27,Male,1,Civil Engineering,8,22,9,Always,3,5,On-Campus,No,Yes,1,7,Frequently,5,0,1,4,Exercise,1
06-10-2024 08:44,18,Male,4,Law,8,9,5,Sometimes,3,3,Off-Campus,No,Yes,3,7,Rarely,3,9,1,5,Aggression - punching bag,0
06-10-2024 08:44,23,Male,5,Electronics and Communication,8,5,10,Never,5,2,Off-Campus,No,Yes,3,7,Daily,2,7,5,5,Listening to Music,0
06-10-2024 08:44,21,Female,2,Core Engineering,7,29,10,Always,5,1,Off-Campus,Yes,No,5,7,Sometimes,1,2,4,1,Playing Games,2
06-10-2024 08:44,30,Female,4,Core Engineering,8,10,7,Sometimes,5,4,Off-Campus,Yes,No,3,7,Frequently,3,8,4,1,Aggression - punching bag,0
06-10-2024 08:44,20,Female,4,Robotics and Automation,5,44,9,Rarely,2,1,Off-Campus,No,No,4,4,Frequently,1,4,5,4,Aggression - punching bag,4
06-10-2024 08:44,30,Female,4,Electronics and Communication,6,35,4,Frequently,5,1,Off-Campus,Yes,No,1,4,Frequently,5,1,5,3,Aggression - punching bag,4
06-10-2024 08:44,30,Male,3,Core Engineering,6,39,14,Rarely,1,5,With Family,No,No,5,3,Frequently,4,7,3,2,Aggression - punching bag,4
06-10-2024 08:44,30,Male,1,Law,9,13,0,Rarely,4,3,Off-Campus,Yes,Yes,4,8,Rarely,1,3,3,4,Sleeping,0
06-10-2024 08:44,27,Female,4,Core Engineering,8,11,12,Sometimes,4,2,Off-Campus,Yes,No,2,7,Sometimes,3,4,5,5,Exercise,0
06-10-2024 08:44,26,Male,1,Robotics and Automation,4,55,6,Rarely,5,2,With Family,No,Yes,1,3,Never,1,9,4,3,Playing Games,5
06-10-2024 08:44,23,Female,4,Civil Engineering,9,8,11,Sometimes,5,2,With Family,Yes,No,2,8,Daily,3,2,2,1,Aggression - punching bag,0
06-10-2024 08:44,29,Female,5,Civil Engineering,6,27,4,Always,1,1,With Family,Yes,Yes,1,6,Sometimes,3,1,3,2,Sleeping,3
06-10-2024 08:44,27,Female,5,Electronics and Communication,5,36,11,Always,1,1,On-Campus,No,Yes,1,5,Frequently,4,7,1,5,Exercise,3
06-10-2024 08:44,20,Female,5,Electronics and Communication,8,24,5,Frequently,3,4,On-Campus,No,Yes,1,7,Rarely,4,8,1,5,Playing Games,2
06-10-2024 08:44,18,Male,2,Civil Engineering,8,25,8,Frequently,3,4,With Family,Yes,Yes,5,5,Daily,3,2,2,3,Exercise,2
06-10-2024 08:44,28,Male,5,Law,7,17,14,Always,4,4,Off-Campus,Yes,No,3,5,Sometimes,2,3,4,3,Aggression - punching bag,2
06-10-2024 08:44,29,Female,2,Civil Engineering,4,54,6,Sometimes,1,5,With Family,No,No,2,3,Never,5,2,5,3,Sleeping,5
06-10-2024 08:44,27,Male,4,Electronics and Communication,8,13,3,Always,2,2,With Family,Yes,No,1,8,Daily,5,8,1,2,Aggression - punching bag,0
06-10-2024 08:44,26,Female,5,Core Engineering,9,5,1,Frequently,4,2,On-Campus,Yes,No,1,7,Sometimes,5,6,1,1,Aggression - punching bag,0
06-10-2024 08:44,25,Male,3,Robotics and Automation,4,47,2,Frequently,4,5,Off-Campus,Yes,No,5,4,Sometimes,5,1,5,1,Playing Games,4
06-10-2024 08:44,25,Female,4,Core Engineering,8,15,1,Frequently,2,3,Off-Campus,Yes,No,1,7,Frequently,4,0,5,3,Aggression - punching bag,1
06-10-2024 08:44,27,Female,2,BBA General,8,19,5,Frequently,5,3,With Family,Yes,No,4,8,Never,2,6,5,2,Sleeping,1
06-10-2024 08:44,30,Female,4,BBA General,9,8,13,Sometimes,2,3,Off-Campus,No,Yes,5,8,Never,4,8,2,5,Playing Games,0
06-10-2024 08:44,28,Female,2,Robotics and Automation,8,6,11,Always,1,5,On-Campus,No,Yes,5,7,Never,2,3,1,2,Aggression - punching bag,0
06-10-2024 08:44,23,Male,3,Law,7,15,13,Always,2,5,Off-Campus,Yes,Yes,2,6,Rarely,3,4,1,4,Aggression - punching bag,2
06-10-2024 08:44,19,Male,4,Civil Engineering,8,17,6,Sometimes,3,5,With Family,No,No,4,7,Never,5,6,5,2,Aggression - punching bag,1
06-10-2024 08:44,23,Male,2,Civil Engineering,3,54,13,Always,4,2,With Family,No,Yes,5,3,Rarely,3,8,4,2,Exercise,5
06-10-2024 08:44,24,Male,4,Civil Engineering,7,26,1,Rarely,3,4,On-Campus,No,Yes,4,5,Rarely,1,7,1,1,Exercise,3
06-10-2024 08:44,21,Male,5,Civil Engineering,8,12,5,Frequently,1,2,Off-Campus,Yes,No,5,8,Frequently,3,5,2,3,Exercise,1
06-10-2024 08:44,21,Male,3,BBA General,6,35,2,Sometimes,4,1,On-Campus,No,Yes,1,3,Daily,4,9,3,3,Exercise,4
06-10-2024 08:44,29,Female,2,Core Engineering,8,24,7,Never,2,3,On-Campus,Yes,No,2,7,Rarely,4,3,2,5,Playing Games,2
06-10-2024 08:44,21,Female,4,BBA General,7,25,4,Rarely,4,1,Off-Campus,No,No,1,4,Never,2,5,2,5,Listening to Music,3
06-10-2024 08:44,30,Male,4,Robotics and Automation,7,10,10,Rarely,5,4,With Family,No,Yes,2,6,Frequently,4,3,1,4,Playing Games,1
06-10-2024 08:44,26,Male,3,Robotics and Automation,8,20,10,Frequently,3,5,With Family,No,Yes,3,5,Sometimes,2,3,1,5,Playing Games,2
06-10-2024 08:44,29,Male,3,Civil Engineering,8,19,9,Frequently,2,2,On-Campus,Yes,No,2,6,Rarely,5,7,5,5,Playing Games,2
06-10-2024 08:44,27,Male,5,Civil Engineering,4,50,1,Frequently,5,4,Off-Campus,Yes,No,3,2,Never,2,9,5,1,Listening to Music,5
06-10-2024 08:44,19,Male,3,Law,7,16,7,Sometimes,1,2,Off-Campus,No,Yes,1,6,Daily,5,3,5,4,Aggression - punching bag,2
06-10-2024 08:44,28,Female,2,Core Engineering,6,30,1,Always,5,2,With Family,No,Yes,5,5,Rarely,1,0,3,1,Listening to Music,3
06-10-2024 08:44,20,Male,1,Core Engineering,9,11,8,Never,5,1,On-Campus,Yes,No,5,9,Rarely,1,0,5,4,Sleeping,0
06-10-2024 08:44,25,Female,4,Core Engineering,8,20,10,Frequently,5,5,Off-Campus,Yes,No,2,6,Rarely,5,9,1,1,Sleeping,2
06-10-2024 08:44,18,Male,2,Electronics and Communication,9,13,6,Rarely,4,5,Off-Campus,No,Yes,5,8,Rarely,5,6,5,3,Aggression - punching bag,0
06-10-2024 08:44,30,Female,3,Law,9,7,14,Sometimes,4,5,On-Campus,Yes,No,1,7,Never,3,6,5,2,Listening to Music,0
06-10-2024 08:44,24,Male,2,Law,8,19,4,Never,4,4,Off-Campus,Yes,Yes,3,6,Sometimes,4,1,4,1,Playing Games,1
06-10-2024 08:44,30,Female,5,Robotics and Automation,8,24,4,Sometimes,4,1,On-Campus,No,No,4,7,Sometimes,2,2,4,4,Sleeping,1
06-10-2024 08:44,26,Male,2,Electronics and Communication,5,36,0,Sometimes,3,3,With Family,No,Yes,5,6,Daily,5,8,3,5,Playing Games,3
06-10-2024 08:44,29,Male,4,BBA General,7,18,11,Always,4,3,On-Campus,Yes,Yes,2,6,Frequently,4,8,2,1,Aggression - punching bag,1
06-10-2024 08:44,21,Male,1,Robotics and Automation,5,29,10,Frequently,5,5,On-Campus,No,No,1,5,Frequently,2,0,4,4,Aggression - punching bag,3
06-10-2024 08:44,25,Male,3,Core Engineering,7,27,2,Never,2,1,Off-Campus,No,Yes,4,5,Daily,4,2,3,1,Exercise,3
06-10-2024 08:44,28,Female,3,Core Engineering,6,39,3,Always,1,2,With Family,Yes,Yes,2,6,Never,2,9,3,2,Exercise,3
06-10-2024 08:44,21,Female,1,Law,5,55,1,Sometimes,2,5,On-Campus,No,Yes,3,4,Rarely,4,7,5,1,Listening to Music,5
06-10-2024 08:44,21,Female,4,Law,7,27,11,Never,1,2,Off-Campus,No,No,4,4,Frequently,1,2,4,2,Listening to Music,3
06-10-2024 08:44,28,Female,2,Robotics and Automation,9,10,10,Rarely,2,3,On-Campus,Yes,Yes,2,8,Sometimes,3,8,2,1,Aggression - punching bag,0
06-10-2024 08:44,20,Female,4,Electronics and Communication,5,45,11,Never,3,3,With Family,Yes,No,2,4,Frequently,2,1,4,2,Listening to Music,4
06-10-2024 08:44,25,Male,2,Law,8,15,10,Never,5,5,On-Campus,Yes,No,3,8,Frequently,2,2,3,4,Sleeping,1
06-10-2024 08:44,29,Female,3,Robotics and Automation,5,41,10,Frequently,4,1,With Family,No,Yes,4,4,Daily,4,7,2,3,Aggression - punching bag,4
06-10-2024 08:44,23,Male,1,Core Engineering,5,49,12,Always,1,5,On-Campus,No,No,1,5,Never,5,3,3,2,Aggression - punching bag,4
06-10-2024 08:44,29,Male,2,Core Engineering,6,34,13,Always,1,3,Off-Campus,No,Yes,2,6,Sometimes,5,6,1,5,Aggression - punching bag,3
06-10-2024 08:44,18,Female,1,Civil Engineering,5,44,8,Never,3,1,Off-Campus,No,Yes,5,4,Frequently,1,3,3,4,Exercise,4
06-10-2024 08:44,25,Female,4,Core Engineering,7,17,6,Frequently,1,1,With Family,No,No,3,7,Frequently,1,1,5,2,Listening to Music,1
06-10-2024 08:44,30,Female,2,BBA General,6,34,4,Sometimes,4,3,Off-Campus,Yes,No,1,5,Sometimes,3,6,1,4,Sleeping,3
06-10-2024 08:44,27,Female,3,Civil Engineering,6,29,0,Sometimes,4,5,Off-Campus,Yes,No,2,5,Daily,1,8,1,1,Sleeping,3
06-10-2024 08:44,29,Female,1,Law,8,9,13,Always,3,3,Off-Campus,Yes,Yes,5,8,Frequently,5,2,2,3,Aggression - punching bag,0
06-10-2024 08:44,27,Female,1,BBA General,8,12,6,Never,2,3,On-Campus,No,No,5,8,Daily,5,3,5,4,Exercise,0
06-10-2024 08:44,30,Male,3,Electronics and Communication,8,12,3,Frequently,4,2,Off-Campus,No,No,4,6,Rarely,2,4,1,2,Listening to Music,1
06-10-2024 08:44,26,Male,5,Robotics and Automation,7,17,10,Never,2,1,On-Campus,No,Yes,1,7,Daily,2,4,5,5,Aggression - punching bag,2
06-10-2024 08:44,29,Female,2,Core Engineering,9,8,2,Rarely,4,4,Off-Campus,No,No,5,8,Frequently,2,4,4,2,Playing Games,0
06-10-2024 08:44,26,Female,3,Civil Engineering,6,28,11,Never,3,5,On-Campus,No,Yes,4,6,Rarely,5,8,4,3,Listening to Music,3
06-10-2024 08:44,23,Female,4,Civil Engineering,5,51,11,Sometimes,5,2,With Family,Yes,No,2,3,Daily,3,2,2,1,Aggression - punching bag,5
06-10-2024 08:44,19,Female,2,BBA General,7,18,8,Sometimes,5,4,With Family,No,No,3,7,Rarely,4,7,5,1,Sleeping,1
06-10-2024 08:44,20,Male,4,Civil Engineering,8,9,13,Frequently,3,3,With Family,No,Yes,3,7,Never,4,8,2,5,Exercise,0
06-10-2024 08:44,30,Male,3,Core Engineering,8,19,14,Rarely,1,5,With Family,No,No,5,5,Frequently,4,7,3,2,Aggression - punching bag,2
06-10-2024 08:44,26,Female,5,Civil Engineering,8,19,3,Always,1,1,On-Campus,No,No,4,8,Sometimes,5,5,1,4,Exercise,1
06-10-2024 08:44,26,Female,3,Electronics and Communication,9,7,0,Always,2,1,With Family,Yes,Yes,4,8,Sometimes,2,8,4,4,Sleeping,0
06-10-2024 08:44,29,Female,5,Core Engineering,5,37,13,Always,4,1,Off-Campus,No,No,1,5,Never,2,0,1,1,Playing Games,4
06-10-2024 08:44,27,Male,2,Core Engineering,7,23,5,Never,3,3,On-Campus,Yes,Yes,2,5,Daily,2,8,5,5,Aggression - punching bag,2
06-10-2024 08:44,26,Female,2,BBA General,4,46,11,Frequently,5,2,On-Campus,No,Yes,5,2,Daily,5,4,5,1,Playing Games,5
06-10-2024 08:44,28,Male,3,BBA General,8,10,5,Always,5,5,On-Campus,No,No,3,7,Never,3,8,3,3,Sleeping,0
06-10-2024 08:44,29,Female,1,BBA General,8,14,0,Sometimes,4,2,Off-Campus,No,No,4,7,Daily,4,4,2,3,Sleeping,1
06-10-2024 08:44,26,Female,1,Core Engineering,5,35,14,Frequently,4,4,Off-Campus,Yes,No,5,3,Rarely,1,6,2,4,Aggression - punching bag,4
06-10-2024 08:44,20,Female,4,Robotics and Automation,7,24,9,Rarely,2,1,Off-Campus,No,No,4,6,Frequently,1,4,5,4,Aggression - punching bag,2
06-10-2024 08:44,23,Female,2,Robotics and Automation,8,21,13,Rarely,3,4,With Family,Yes,No,2,7,Never,3,0,3,1,Listening to Music,1
06-10-2024 08:44,27,Female,4,Law,5,35,4,Frequently,3,1,With Family,No,No,5,4,Sometimes,5,5,5,2,Playing Games,4
06-10-2024 08:44,22,Male,2,Core Engineering,8,13,10,Frequently,1,4,With Family,No,No,1,8,Daily,1,8,3,5,Sleeping,0
06-10-2024 08:44,21,Female,4,Law,8,12,11,Never,1,2,Off-Campus,No,No,4,6,Frequently,1,2,4,2,Listening to Music,1
06-10-2024 08:44,20,Female,1,BBA General,5,30,4,Never,3,1,With Family,No,Yes,1,4,Never,5,1,2,3,Playing Games,3
06-10-2024 08:44,20,Female,4,BBA General,7,16,4,Never,1,1,On-Campus,No,Yes,4,6,Never,1,8,2,3,Sleeping,1
06-10-2024 08:44,29,Male,4,BBA General,9,10,0,Never,1,3,With Family,No,Yes,3,8,Frequently,3,3,2,2,Aggression - punching bag,0
06-10-2024 08:44,23,Male,1,Law,7,25,13,Always,2,5,On-Campus,No,Yes,3,7,Sometimes,1,7,2,1,Aggression - punching bag,2
06-10-2024 08:44,30,Male,1,Electronics and Communication,3,59,2,Rarely,2,4,With Family,Yes,No,5,2,Never,5,9,5,1,Listening to Music,5
06-10-2024 08:44,23,Male,2,BBA General,6,40,0,Never,4,3,On-Campus,Yes,No,1,4,Rarely,5,1,5,4,Aggression - punching bag,4
06-10-2024 08:44,19,Female,3,Law,8,19,13,Frequently,5,4,Off-Campus,Yes,No,4,6,Sometimes,2,7,2,1,Playing Games,1
06-10-2024 08:44,29,Female,5,Electronics and Communication,10,8,5,Rarely,4,5,With Family,No,No,4,8,Rarely,1,5,1,1,Playing Games,0
06-10-2024 08:44,29,Female,2,BBA General,6,34,13,Always,5,3,Off-Campus,Yes,Yes,1,5,Daily,5,4,4,5,Listening to Music,3
06-10-2024 08:44,27,Female,2,Robotics and Automation,6,31,3,Frequently,3,3,On-Campus,Yes,No,5,4,Sometimes,1,9,4,3,Listening to Music,3
06-10-2024 08:44,22,Female,3,Law,8,12,0,Always,1,2,Off-Campus,No,No,3,8,Never,1,2,5,4,Aggression - punching bag,0
06-10-2024 08:44,30,Female,3,Robotics and Automation,7,16,8,Rarely,1,5,Off-Campus,No,Yes,1,6,Rarely,5,4,4,5,Playing Games,1
